"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Data driven test for invalid contract addresses","398","getPriceWithInvalidAddresses","Surefire suite","Mon Nov 24 10:03:05 IST 2025","passed","Mon Nov 24 10:03:06 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Deploy Contract with unicode characters in constructor args - Edge Case","23831","deployContractWithUnicodeCharacters","Surefire suite","Mon Nov 24 10:02:33 IST 2025","passed","Mon Nov 24 10:02:57 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithUnicodeCharacters"
"Test transaction estimate response structure validation","1075","testTransactionEstimateResponseStructure","Surefire suite","Mon Nov 24 10:03:18 IST 2025","passed","Mon Nov 24 10:03:19 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateResponseStructure"
"Data driven test for valid contract addresses","433","getPriceWithValidAddresses","Surefire suite","Mon Nov 24 10:03:03 IST 2025","skipped","Mon Nov 24 10:03:03 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithValidAddresses"
"Deploy Contract with negative chain ID - Edge Case (Expected 500)","1070","deployContractWithNegativeChainId","Surefire suite","Mon Nov 24 10:02:57 IST 2025","passed","Mon Nov 24 10:02:58 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithNegativeChainId"
"Data driven test for invalid contract addresses","401","getPriceWithInvalidAddresses","Surefire suite","Mon Nov 24 10:03:05 IST 2025","passed","Mon Nov 24 10:03:05 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Validate user balance response structure and data types - Positive Test","125","validateGetUserBalanceResponseStructure","Surefire suite","Mon Nov 24 10:03:34 IST 2025","passed","Mon Nov 24 10:03:34 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","validateGetUserBalanceResponseStructure"
"Test get price for non-existent contract address","425","getPriceForNonExistentContract","Surefire suite","Mon Nov 24 10:03:29 IST 2025","passed","Mon Nov 24 10:03:30 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","getPriceForNonExistentContract"
"Deploy Contract with empty bytecode - Negative Test (Expected 500)","100","deployContractWithEmptyBytecode","Surefire suite","Mon Nov 24 10:01:42 IST 2025","passed","Mon Nov 24 10:01:42 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithEmptyBytecode"
"Test transaction estimate with large string arguments","1063","testTransactionEstimateWithLargeStringArgs","Surefire suite","Mon Nov 24 10:03:21 IST 2025","passed","Mon Nov 24 10:03:22 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithLargeStringArgs"
"Data driven test for invalid contract addresses","399","getPriceWithInvalidAddresses","Surefire suite","Mon Nov 24 10:03:05 IST 2025","passed","Mon Nov 24 10:03:05 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Get price for multiple valid contract addresses - Data Driven Test","1288","getPriceForMultipleContractAddresses","Surefire suite","Mon Nov 24 10:03:26 IST 2025","passed","Mon Nov 24 10:03:27 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","getPriceForMultipleContractAddresses"
"Get price with invalid contract address - Negative Test","351","getPriceWithInvalidContractAddress","Surefire suite","Mon Nov 24 10:03:26 IST 2025","passed","Mon Nov 24 10:03:26 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","getPriceWithInvalidContractAddress"
"Get user balance multiple times to verify consistency - Positive Test","1229","getUserBalanceMultipleTimes","Surefire suite","Mon Nov 24 10:03:34 IST 2025","passed","Mon Nov 24 10:03:35 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalanceMultipleTimes"
"Data driven test for invalid contract addresses","705","getPriceWithInvalidAddresses","Surefire suite","Mon Nov 24 10:03:06 IST 2025","passed","Mon Nov 24 10:03:07 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Data driven test for valid contract addresses","365","getPriceWithValidAddresses","Surefire suite","Mon Nov 24 10:03:04 IST 2025","passed","Mon Nov 24 10:03:04 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithValidAddresses"
"Deploy Contract with special characters in constructor args - Edge Case","26903","deployContractWithSpecialCharacters","Surefire suite","Mon Nov 24 10:02:06 IST 2025","passed","Mon Nov 24 10:02:33 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithSpecialCharacters"
"Deploy Contract with 2 constructor arguments - Positive Test","25872","deployContractWithTwoArgs","Surefire suite","Mon Nov 24 10:00:04 IST 2025","passed","Mon Nov 24 10:00:30 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithTwoArgs"
"Deploy Contract with zero chain ID - Edge Case (Expected 500)","153","deployContractWithZeroChainId","Surefire suite","Mon Nov 24 10:02:58 IST 2025","passed","Mon Nov 24 10:02:58 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithZeroChainId"
"Validate user balance is in wei format (numeric string) - Positive Test","119","validateBalanceFormat","Surefire suite","Mon Nov 24 10:03:35 IST 2025","passed","Mon Nov 24 10:03:35 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","validateBalanceFormat"
"Get supported tokens list","183","getSupportedTokens","Surefire suite","Mon Nov 24 10:03:30 IST 2025","passed","Mon Nov 24 10:03:30 IST 2025","in.mai.yourproject.testsuite.backend.GetSupportedTokens","Surefire test","in.mai.yourproject.testsuite.backend.GetSupportedTokens","getSupportedTokens"
"Get user balance with empty enrollment ID - Negative Test","0","getUserBalanceWithEmptyEnrollmentId","Surefire suite","Mon Nov 24 10:03:32 IST 2025","unknown","Mon Nov 24 10:03:32 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalanceWithEmptyEnrollmentId"
"Deploy Contract with large constructor arguments - Edge Case","23734","deployContractWithLargeConstructorArgs","Surefire suite","Mon Nov 24 10:01:42 IST 2025","passed","Mon Nov 24 10:02:06 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithLargeConstructorArgs"
"Data driven test for valid contract addresses","1440","getPriceWithValidAddresses","Surefire suite","Mon Nov 24 10:03:02 IST 2025","passed","Mon Nov 24 10:03:03 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithValidAddresses"
"Data driven test for invalid contract addresses","351","getPriceWithInvalidAddresses","Surefire suite","Mon Nov 24 10:03:06 IST 2025","passed","Mon Nov 24 10:03:06 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Get user balance with null enrollment ID - Negative Test","0","getUserBalanceWithNullEnrollmentId","Surefire suite","Mon Nov 24 10:03:32 IST 2025","unknown","Mon Nov 24 10:03:32 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalanceWithNullEnrollmentId"
"Test get price API with missing required parameters","413","getPriceWithMissingParameters","Surefire suite","Mon Nov 24 10:03:29 IST 2025","passed","Mon Nov 24 10:03:29 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","getPriceWithMissingParameters"
"Get user balance with special characters in enrollment ID - Negative Test","0","getUserBalanceWithSpecialCharactersInEnrollmentId","Surefire suite","Mon Nov 24 10:03:32 IST 2025","unknown","Mon Nov 24 10:03:32 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalanceWithSpecialCharactersInEnrollmentId"
"Test transaction estimate with single argument","1086","testTransactionEstimateWithSingleArg","Surefire suite","Mon Nov 24 10:03:13 IST 2025","passed","Mon Nov 24 10:03:14 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithSingleArg"
"Deploy Contract with invalid bytecode - Negative Test (Expected 500)","422","deployContractWithInvalidBytecode","Surefire suite","Mon Nov 24 10:00:54 IST 2025","passed","Mon Nov 24 10:00:54 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithInvalidBytecode"
"Data driven test for valid contract addresses","0","getPriceWithValidAddresses","Surefire suite","Mon Nov 24 10:03:03 IST 2025","broken","Mon Nov 24 10:03:03 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithValidAddresses"
"Test transaction estimate consistency - same request should return similar results","3195","testTransactionEstimateConsistency","Surefire suite","Mon Nov 24 10:03:22 IST 2025","passed","Mon Nov 24 10:03:25 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateConsistency"
"Validate error response structure for invalid requests - Negative Test","123","validateErrorResponseStructure","Surefire suite","Mon Nov 24 10:03:35 IST 2025","passed","Mon Nov 24 10:03:35 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","validateErrorResponseStructure"
"Test transaction estimate with invalid contract address","104","testTransactionEstimateWithInvalidContractAddress","Surefire suite","Mon Nov 24 10:03:16 IST 2025","passed","Mon Nov 24 10:03:17 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithInvalidContractAddress"
"Get price with null contract address - Negative Test","98","getPriceWithNullContractAddress","Surefire suite","Mon Nov 24 10:03:26 IST 2025","passed","Mon Nov 24 10:03:26 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","getPriceWithNullContractAddress"
"Get user balance with zero balance - Edge Case","121","getUserBalanceWithZeroBalance","Surefire suite","Mon Nov 24 10:03:35 IST 2025","passed","Mon Nov 24 10:03:36 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalanceWithZeroBalance"
"To Get Estimation for deploying  Contract with 2 args","146","deployContract","Surefire suite","Mon Nov 24 10:03:30 IST 2025","failed","Mon Nov 24 10:03:30 IST 2025","in.mai.yourproject.testsuite.backend.DeployEstimate","Surefire test","in.mai.yourproject.testsuite.backend.DeployEstimate","deployContract"
"Test transaction estimate with null contract address","97","testTransactionEstimateWithNullContractAddress","Surefire suite","Mon Nov 24 10:03:17 IST 2025","passed","Mon Nov 24 10:03:17 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithNullContractAddress"
"Get user balance with very large balance value - Edge Case","116","getUserBalanceWithLargeBalance","Surefire suite","Mon Nov 24 10:03:36 IST 2025","passed","Mon Nov 24 10:03:36 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalanceWithLargeBalance"
"Validate get price response structure and data types","438","validateGetPriceResponseStructure","Surefire suite","Mon Nov 24 10:03:28 IST 2025","passed","Mon Nov 24 10:03:28 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","validateGetPriceResponseStructure"
"Deploy Contract with invalid chain ID - Negative Test (Expected 500)","3807","deployContractWithInvalidChainId","Surefire suite","Mon Nov 24 10:00:54 IST 2025","passed","Mon Nov 24 10:00:58 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithInvalidChainId"
"Deploy Contract without ABI - Negative Test (Expected 500)","159","deployContractWithoutABI","Surefire suite","Mon Nov 24 10:00:54 IST 2025","passed","Mon Nov 24 10:00:54 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithoutABI"
"Validate response time for get user balance API - Positive Test","113","validateGetUserBalanceResponseTime","Surefire suite","Mon Nov 24 10:03:34 IST 2025","passed","Mon Nov 24 10:03:34 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","validateGetUserBalanceResponseTime"
"Get user balance with non-existent enrollment ID - Negative Test","0","getUserBalanceWithNonExistentEnrollmentId","Surefire suite","Mon Nov 24 10:03:32 IST 2025","unknown","Mon Nov 24 10:03:32 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalanceWithNonExistentEnrollmentId"
"Test get price with special characters in contract address","430","getPriceWithSpecialCharactersInAddress","Surefire suite","Mon Nov 24 10:03:28 IST 2025","passed","Mon Nov 24 10:03:29 IST 2025","in.mai.yourproject.testsuite.backend.GetPrice","Surefire test","in.mai.yourproject.testsuite.backend.GetPrice","getPriceWithSpecialCharactersInAddress"
"Data driven test for invalid contract addresses","362","getPriceWithInvalidAddresses","Surefire suite","Mon Nov 24 10:03:06 IST 2025","passed","Mon Nov 24 10:03:06 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Data driven test for valid contract addresses","365","getPriceWithValidAddresses","Surefire suite","Mon Nov 24 10:03:04 IST 2025","passed","Mon Nov 24 10:03:05 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithValidAddresses"
"Deploy Contract with null bytecode - Negative Test (Expected 500)","103","deployContractWithNullBytecode","Surefire suite","Mon Nov 24 10:01:42 IST 2025","passed","Mon Nov 24 10:01:42 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithNullBytecode"
"Get user balance with valid enrollment ID - Positive Test","1433","getUserBalance","Surefire suite","Mon Nov 24 10:03:32 IST 2025","passed","Mon Nov 24 10:03:34 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalance"
"Deploy Contract with invalid token standard - Negative Test (Expected 500)","21790","deployContractWithInvalidTokenStandard","Surefire suite","Mon Nov 24 10:01:20 IST 2025","failed","Mon Nov 24 10:01:42 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithInvalidTokenStandard"
"Test transaction estimate with valid parameters - 2 arguments","1928","testTransactionEstimateWithValidParams","Surefire suite","Mon Nov 24 10:03:10 IST 2025","passed","Mon Nov 24 10:03:12 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithValidParams"
"Test transaction estimate with empty arguments list","1051","testTransactionEstimateWithEmptyArgs","Surefire suite","Mon Nov 24 10:03:12 IST 2025","passed","Mon Nov 24 10:03:13 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithEmptyArgs"
"Data driven test for valid contract addresses","365","getPriceWithValidAddresses","Surefire suite","Mon Nov 24 10:03:03 IST 2025","passed","Mon Nov 24 10:03:04 IST 2025","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.backend.GetPriceDataProvider","getPriceWithValidAddresses"
"Test transaction estimate with multiple arguments","418","testTransactionEstimateWithMultipleArgs","Surefire suite","Mon Nov 24 10:03:14 IST 2025","passed","Mon Nov 24 10:03:15 IST 2025","in.mai.yourproject.testsuite.backend.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.backend.TransactionEstimate","testTransactionEstimateWithMultipleArgs"
"Deploy Contract with custom RPC URL - Positive Test","23705","deployContractWithCustomRPC","Surefire suite","Mon Nov 24 10:00:30 IST 2025","passed","Mon Nov 24 10:00:54 IST 2025","in.mai.yourproject.testsuite.backend.DeployContract","Surefire test","in.mai.yourproject.testsuite.backend.DeployContract","deployContractWithCustomRPC"
"Get user balance with invalid enrollment ID format - Negative Test","0","getUserBalanceWithInvalidEnrollmentId","Surefire suite","Mon Nov 24 10:03:32 IST 2025","unknown","Mon Nov 24 10:03:32 IST 2025","in.mai.yourproject.testsuite.frontend.UserBalance","Surefire test","in.mai.yourproject.testsuite.frontend.UserBalance","getUserBalanceWithInvalidEnrollmentId"
